OID_;CID;RASTERVALU;OID_1;CID_1;RASTERVALU_1;OID_12;CID_12;RASTERVALU_12
;1;248;175;1;2056;175;1;243
;1;248;176;1;2390;176;1;333
;1;218;177;1;2796;177;1;332
;1;242;178;1;2077;178;1;333
;1;250;179;1;1851;179;1;411
;1;196;180;1;3195;180;1;332
;1;240;181;1;2608;181;1;332
;1;250;182;1;1851;182;1;212
;1;243;183;1;2613;183;1;333
;1;233;184;1;1750;184;1;321
;1;218;185;1;2302;185;1;321
;1;193;186;1;2721;186;1;332
;1;219;187;1;2226;187;1;332
;1;233;188;1;2647;188;1;332
;1;250;189;1;1866;189;1;212
;1;242;190;1;3279;190;1;332
;1;250;191;1;1851;191;1;411
;1;250;192;1;1856;192;1;211
;1;236;193;1;2040;193;1;332
;1;250;194;1;1851;194;1;212
;1;213;195;1;2392;195;1;332
;1;223;196;1;2075;196;1;333
;1;212;197;1;2549;197;1;332
;1;221;198;1;2316;198;1;321
;1;227;199;1;2769;199;1;321
;1;238;200;1;2743;200;1;321
;1;219;201;1;1825;201;1;321
;1;250;202;1;1860;202;1;212
;1;190;203;1;2843;203;1;333
;1;232;204;1;1831;204;1;333
;1;250;205;1;1846;205;1;411
;1;198;206;1;1853;206;1;333
;1;195;207;1;2167;207;1;333
;1;233;208;1;2635;208;1;321
;1;216;209;1;2268;209;1;321
;1;250;210;1;1892;210;1;212
;1;246;211;1;2097;211;1;333
;1;231;212;1;2055;212;1;333
;1;250;213;1;1873;213;1;243
;1;211;214;1;2184;214;1;321
;1;219;215;1;2267;215;1;332
;1;236;216;1;3016;216;1;321
;1;249;217;1;2011;217;1;333
;1;222;218;1;2147;218;1;321
;1;250;219;1;1851;219;1;231
;1;215;220;1;2910;220;1;333
;1;215;221;1;2695;221;1;333
;1;245;222;1;2222;222;1;231
;1;222;223;1;2280;223;1;332
;1;234;224;1;2113;224;1;321
;1;248;225;1;2433;225;1;333
;1;249;226;1;1867;226;1;242
;1;247;227;1;2448;227;1;333
;1;224;228;1;2638;228;1;321
;1;218;229;1;1333;229;1;321
;1;223;230;1;2504;230;1;321
;1;231;231;1;2808;231;1;333
;1;245;232;1;2367;232;1;333
;1;250;233;1;1851;233;1;411
;1;231;234;1;2647;234;1;332
;1;215;235;1;1677;235;1;324
;1;232;236;1;2189;236;1;321
;1;247;237;1;2185;237;1;333
;1;250;238;1;1852;238;1;411
;1;249;239;1;2206;239;1;333
;1;230;240;1;2082;240;1;333
;1;250;241;1;2443;241;1;333
;1;209;242;1;3173;242;1;332
;1;220;243;1;2224;243;1;333
;1;231;244;1;2813;244;1;332
;1;250;245;1;1849;245;1;411
;1;228;246;1;2156;246;1;333
;1;223;247;1;2035;247;1;333
;1;127;248;1;3130;248;1;332
;1;228;249;1;2127;249;1;332
;1;250;250;1;1850;250;1;411
;1;234;251;1;2174;251;1;321
;1;250;252;1;1850;252;1;212
;1;244;253;1;2172;253;1;321
;1;248;254;1;3668;254;1;332
;1;235;255;1;3206;255;1;332
;1;236;256;1;2104;256;1;321
;1;219;257;1;2072;257;1;332
;1;224;258;1;2583;258;1;332
;1;249;259;1;2743;259;1;333
;1;218;260;1;2380;260;1;321
;1;222;261;1;1627;261;1;332
;1;241;262;1;2223;262;1;321
;1;240;263;1;2179;263;1;333
;1;242;264;1;1969;264;1;333
;1;243;265;1;2490;265;1;333
;1;230;266;1;2351;266;1;321
;1;250;267;1;1849;267;1;212
;1;245;268;1;2708;268;1;321
;1;246;269;1;2039;269;1;333
;1;198;270;1;2115;270;1;324
;1;239;271;1;1888;271;1;333
;1;187;272;1;2434;272;1;333
;1;246;273;1;2370;273;1;333
;1;238;274;1;2660;274;1;333
;1;182;275;1;3245;275;1;332
;1;227;276;1;3084;276;1;321
;1;247;277;1;1712;277;1;324
;1;190;278;1;2155;278;1;324
;1;237;279;1;2226;279;1;332
;1;250;280;1;1851;280;1;411
;1;231;281;1;2469;281;1;333
;1;232;282;1;2153;282;1;321
;1;242;283;1;1854;283;1;324
;1;245;284;1;2194;284;1;333
;1;250;285;1;1848;285;1;212
;1;242;286;1;2352;286;1;333
;1;229;287;1;2186;287;1;321
;1;234;288;1;2003;288;1;321
;1;223;289;1;2290;289;1;333
;1;217;290;1;2248;290;1;321
;1;220;291;1;2493;291;1;321
;1;246;292;1;2503;292;1;332
;1;246;293;1;2284;293;1;333
;1;172;294;1;1849;294;1;321
;1;212;295;1;2592;295;1;333
;1;241;296;1;2026;296;1;321
;1;250;297;1;1859;297;1;212
;1;186;298;1;1736;298;1;332
;1;201;299;1;2702;299;1;333
;1;234;300;1;2698;300;1;333
;1;221;301;1;1566;301;1;311
;1;217;302;1;2931;302;1;332
;1;216;303;1;2303;303;1;333
;1;250;304;1;1858;304;1;242
;1;222;305;1;2016;305;1;332
;1;229;306;1;2197;306;1;333
;1;236;307;1;2297;307;1;333
;1;250;308;1;2120;308;1;333
;1;209;309;1;2991;309;1;321
;1;243;310;1;2568;310;1;321
;1;200;311;1;2702;311;1;321
;1;229;312;1;2858;312;1;332
;1;237;313;1;2108;313;1;333
;1;230;314;1;2046;314;1;321
;1;225;315;1;2448;315;1;333
;1;118;316;1;2986;316;1;332
;1;227;317;1;1923;317;1;333
;1;249;318;1;2977;318;1;333
;1;215;319;1;2340;319;1;332
;1;250;320;1;1851;320;1;211
;1;234;321;1;2531;321;1;321
;1;244;322;1;2003;322;1;321
;1;243;323;1;1942;323;1;333
;1;250;324;1;1849;324;1;411
;1;231;325;1;1993;325;1;333
;1;215;326;1;2662;326;1;332
;1;248;327;1;1915;327;1;243
;1;227;328;1;2196;328;1;333
;1;239;329;1;3071;329;1;321
;1;222;330;1;1717;330;1;324
;1;200;331;1;2358;331;1;333
;1;250;332;1;1885;332;1;243
;1;243;333;1;2067;333;1;321
;1;250;334;1;1852;334;1;212
;1;196;335;1;2128;335;1;332
;1;241;336;1;2470;336;1;333
;1;229;337;1;2309;337;1;332
;1;185;338;1;3206;338;1;332
;1;242;339;1;2147;339;1;332
;1;215;340;1;1958;340;1;333
;1;208;341;1;1639;341;1;324
;1;197;342;1;2819;342;1;332
;1;230;343;1;2026;343;1;321
;1;250;344;1;1858;344;1;212
;1;250;345;1;1863;345;1;243
;1;239;346;1;2426;346;1;333
;1;244;347;1;2407;347;1;333
;1;212;348;1;1874;348;1;324
;1;245;349;1;1922;349;1;333
;1;242;350;1;2291;350;1;333
;1;222;351;1;2204;351;1;321
;1;207;352;1;3638;352;1;332
;1;229;353;1;2985;353;1;332
;1;245;354;1;2733;354;1;332
;1;220;355;1;2217;355;1;333
;1;200;356;1;2206;356;1;332
;1;237;357;1;2514;357;1;321
;1;198;358;1;2580;358;1;332
;1;250;359;1;1848;359;1;231
;1;248;360;1;2035;360;1;333
;1;204;361;1;2268;361;1;333
;1;242;362;1;2241;362;1;333
;1;244;363;1;2458;363;1;321
;1;219;364;1;1527;364;1;324
;1;249;365;1;1893;365;1;242
;1;250;366;1;1867;366;1;243
;1;250;367;1;1857;367;1;411
;1;170;368;1;2271;368;1;332
;1;250;369;1;1849;369;1;411
;1;249;370;1;1865;370;1;243
;1;200;371;1;2402;371;1;332
;1;250;372;1;1850;372;1;211
;1;235;373;1;2398;373;1;333
;1;245;374;1;2360;374;1;332
;1;226;375;1;1971;375;1;333
;1;238;376;1;2984;376;1;321
;1;248;377;1;2407;377;1;332
;1;250;378;1;2441;378;1;333
;1;235;379;1;2408;379;1;333
;1;227;380;1;2028;380;1;333
